country,continent
US
GB
BR
IT
CN
FR
CA
SE
ZA
AU
DE
GR
TN
NL
JP
ZW
VN
BE
CU
CZ
CR
NZ
IN
KE
HU
ES
DK
AE
SY
TZ
ZM
KR
ML
CH
NE
SL
ID
SG
UG
NO
IR
AT
IL
AR
HN
IE
TW
BD
PS
RS
KH
EE
TH
TD
FI
TR
DO
PK
NG
UA
MW
RW
HT
PH
EG
MY
BF
PL
RU
ET
MX
GH
CM
JO
LK
GF
PG
CG
LS
RO
CL
PT
CO
EC
IS
BB
MA
LB
HR
QA
NF
JM
BG
GM
PE
SA
CI
NP
NI
NC
LU
BA
BY
SV
BW
MZ
MT
CD
OM
MG
VE
GN
BO
GD
RE
SN
PA
TO
GP
SK
MM
BH
GT
SI
LT
DZ
MH
LA
UY
MN
GW
SD
LI
GY
LR
TT
GA
TJ
SZ
AF
LV
SR
LY
GE
FJ
CF
MD
MQ
BJ
SS
PF
BI
UZ
AG
IQ
CW
MU
FM
CY
KZ
AO
AM
KG
KN
VA
IM
FO
PY
BS
YE
TG
AZ
MV
TL
LC
BT
JE
SB
SO
AW
BM
KW
AL
MC
MK
GI
SC
